id,number,name,description,travel_time
417,371,Могилів Львів,"11/12/2017-7/12/2018 по непарних, при двох непарних 29,1,3;  відмінено 19/12/2017, 29/01/2018",17:43
330,73,Москва Львів,цілий рік щоденно,22:31
56914,828,Мукачево Львів,"до 31/12/2017 щоденно, крім четверга;  з 1/01/2018 по понеділках, п'ятницях, суботах, неділях",4:05
252,86,Новоолексіївка Львів,"18/12/2017-24/03/2018  та з 30/10/2018 по парних, при двох непарних 28,30,2",24:27
266,228,Одеса Львів,4/01/2018,11:55
1611,108,Одеса Ужгород,цілий рік щоденно,18:40
56801,36,Одеса Пшемисль,цілий рік щоденно,16:19
56755,26,Одеса Яремче,до 13/01/2018 щоденно,17:10
57016,26,Одеса Яремче,"з 14/01/2018 по парних, при двох непарних 28,30,2",17:10
56754,"12   (""ЗАХІДНИЙ ЕКСПРЕС"")",Одеса Львів,"до 21/01/2018 по непарних, при двох непарних 29,31,3;   з 24/01/2018 по парних, при двох непарних 28,30,2",9:50
57018,26,Одеса Рахів,"з 15/01/2018 по непарних, при двох непарних 29,1,3",19:51
57104,168,Одеса Львів,"28,30/12/2017, 6,8/01/2018",11:10
38,258,Одеса Львів,"22/12/2017-10/01/2018 щоденно, крім 31/12/2017, 6/01/2018",12:22
56802,35,Пшемисль Одеса,з 11/12/2017 щоденно,16:06
56177,715   (ІНТЕРСІТІ+),Пшемисль Київ,10/12/2017-10/03/2018 щоденно,8:59
54731,705   (ІНТЕРСІТІ+),Пшемисль Київ,10/12/2017-10/03/2018 щоденно,7:08
56888,806,Рівне Львів,"цілий рік щоденно, крім суботи",2:55
56897,804,Рівне Львів,"з 11/12/2017 щоденно, крім неділі",2:49
57017,26,Рахів Одеса,"з 16/01/2018 по парних, при двох непарних 30,2,4",18:55
1872,218,Рахів Київ,"10,17,23,25,28,30/12/2017, 2,4,5,6,8,10,11,12,14/01/2018",15:31
56787,"16   (""ВЛАДИСЛАВ ЗУБЕНКО"")",Рахів Харків,"цілий рік по непарних, при двох непарних 29,31,3,5;  відмінено 31/12/2017;  додатково 1/01/2018",19:41
57121,606  безпересадковий вагон,Рахів Запоріжжя,5/01/2018,30:49
1483,606,Рахів Львів,з 11/12/2017 щоденно;  відмінено 1/01/2018,8:05
1375,601,Солотвино Львів,цілий рік щоденно,12:09
56769,13,Солотвино Київ,до 10/01/2018 щоденно,21:17
57056,13,Солотвино Київ,з 11/01/2018 щоденно,21:17
56783,"50   (""КОБЗАР"")",Трускавець Київ,цілий рік щоденно,11:44
286,42,Трускавець Дніпро,цілий рік щоденно,20:34
1946,207,Ужгород Київ,"23/12/2017-14/01/2018 щоденно, крім 31/12/2017",16:27
56,29,Ужгород Київ,"цілий рік по непарних (крім 25/12/2017-23/03/2018), при двох непарних 31,3,5",12:13
56970,"81   (""ДЕСНА"")",Ужгород Київ,з 21/12/2017 щоденно,15:26
3794,239,Ужгород Київ,"23,25,28,30/12/2017, 2,4,6,8,10/01/2018",15:04
54164,"81   (""ДЕСНА"")",Ужгород Київ,до 20/12/2017 щоденно,15:26
57108,29,Ужгород Київ,"25/12/2017-23/03/2018 по непарних, при двох непарних 31,3,5",12:13
56884,829,Ужгород Львів,цілий рік щоденно,5:46
2126,107,Ужгород Одеса,цілий рік щоденно,18:23
56975,45,Ужгород Лисичанськ,10-24/12/2017 щоденно,32:35
56760,45,Ужгород Лисичанськ,з 25/12/2017 щоденно,32:25
57062,601  безпересадковий вагон,Ужгород Дніпро,5/01/2018,33:26
56845,185,Ужгород Львів,"30/12/2017, 8/01/2018",5:30
1291,"235   (""ВЕЧІРНІ ЗОРІ"")",Ужгород Харків,"28/12/2017, 1,5,8/01/2018",25:30
57007,"235   (""ВЕЧІРНІ ЗОРІ"")",Ужгород Харків,"13,17,20,23/12/2017",25:37
56789,"17   (""МРІЯ"")",Ужгород Харків,"з 12/12/2017 по парних, при двох непарних 30,1,2,4;  відмінено 1/01/2018",19:15
56806,"131   (""СЛОБОЖАНЩИНА"")",Харків Львів,"з 25/12/2017 по непарних, при двох непарних 29,31,1,3;  відмінено 31/12/2017",19:06
56993,"111    (""СЛОБОЖАНЩИНА"")",Харків Львів,12-24/12/2017 по парних,19:54
144,"111    (""СЛОБОЖАНЩИНА"")",Харків Львів,"з 26/12/2017 по парних, при двох непарних 28,30,2,4",19:51
56994,"131   (""СЛОБОЖАНЩИНА"")",Харків Львів,11-23/12/2017 по непарних,19:09
56990,"15   (""ВЛАДИСЛАВ ЗУБЕНКО"")",Харків Рахів,12-24/12/2017 по парних,19:34
56816,"15   (""ВЛАДИСЛАВ ЗУБЕНКО"")",Харків Рахів,"10/12, з 26/12/2017 по парних, при двох непарних 28,30,2,4",19:31
57130,"17   (""МРІЯ"")",Харків Ужгород,29/12/2017,19:18
57008,"235   (""ВЕЧІРНІ ЗОРІ"")",Харків Ужгород,"12,15,19,22/12/2017",25:23
56984,"17   (""МРІЯ"")",Харків Ужгород,"17,19,21,23/12/2017",19:21
56788,"17   (""МРІЯ"")",Харків Ужгород,"з 25/12/2017 по непарних (крім 29/12/2017), при двох непарних 29,31,1,3;  відмінено 31/12/2017",19:18
1290,"235   (""ВЕЧІРНІ ЗОРІ"")",Харків Ужгород,"27,30/12/2017, 4,7/01/2018",25:23
147,109,Херсон Львів,"цілий рік по парних, при двох непарних 28,30,2",19:53
411,"95   (""ТЯСМИН"")",Черкаси Львів,"10/12/2017-14/06/2018 та з 2/09/2018 по 2,6,10,14,18,22,26 числах кожного місяця;  16/06-30/08/2018 по парних, при двох непарних 28,30,2;   додатково 29/12/2017",15:23
1281,702,Чернівці Львів,"цілий рік щоденно, крім четверга",3:44
56843,250,Чернівці Київ,"25,29/12/2017, 3,4,9/01/2018",16:18
57089,226,Чернівці Дніпро,"31/12/2017, 5,6,11/01/2018",24:35
56844,220,Чернівці Київ,28/12/2017,16:48
57146,136,Чернівці Білгород-Дністровський,"25/12/2017-20/01/2018 щоденно (крім 31/12/2017);  з 21/01/2018 по непарних, при двох непарних 27,29,1,3",21:05
1448,668,Чернівці Ковель,цілий рік щоденно,13:17
56759,44,"Чернігів,київ Івано-Франківськ",21/12/2017-21/01/2018 щоденно,13:57
53,146,Чоп Львів,з 11/12/2017 щоденно,4:55
57019,26,Яремче Одеса,"з 15/01/2018 по непарних, при двох непарних 29,31,3",16:32
56718,26,Яремче Одеса,до 14/01/2018 щоденно,16:23
56838,751,Здолбунів Хелм,10/12/2017 - 8/12/2018 щоденно,5:25
319,97,Київ Ковель,"цілий рік щоденно (крім 29/12/2017);  відмінено 31/12/2017, 6/01/2018",10:09
57134,97,Київ Ковель,29/12/2017,10:09
2223,197,Київ Ковель,"23,25,29,31/12/2017, 5,6,9/01/2018",9:16
56851,77,Київ Ковель,цілий рік щоденно,10:07
387,84,Ковель Одеса,"11/12/2017-1/06/2018 по непарних, при двох непарних 27,29,1",16:30
2224,198,Ковель Київ,"23,25,29/12/2017, 1,5,7,9/01/2018",9:03
