id,name,region
2218112,Старий Самбор,
2218113,Стрілки,
2218235,Турка,
2218202,Годи-Турка,
2218118,Сянки,
2218908,Ставне,
2218911,Кострине,
2218122,Великий Березний,
2218123,Перечин,
2210800,Запоріжжя 1,
2210730,Запоріжжя 2,
2210801,Запоріжжя Ліве,
2210150,Запоріжжя-Вант.,
2210768,Запоріжжя-Кам’янське,
2210940,Синельникове 2,
2210920,Синельникове-1,
2218092,Сихів,
2218445,Букачівці,
2218219,Делятин,
2218014,Микуличин,
2218216,Вороненка,
2218214,Лазещина,
2218213,Ясиня,
2218212,Кваси,
2218415,Квасилів,
2218508,Білин,
2218270,Рахів,
2210831,Дніпробуд 2,
2210797,Мирова,
2210725,Марганець,
2210780,Нікополь,
2210257,Нікопольбуд,
2210870,Чортомлик,
2210840,Рокувата,
2208630,Користівка,
2208410,Кропивницький,
2208401,Плетений Ташлик,
2208403,Новоукраїнка,
2208360,Помічна,
2208443,Врадіївка,
2208444,Любашівка,
2208550,Балта,
2500752,Балтава,
2400007,Балтамишкис,
2208334,Обхідна,
2208417,Слобідка,
2201261,Комарівці,
2219095,Ківерці,
2218060,Луцьк,
2200093,Малин,
2204750,Малинівка,
2200733,Малиничі,
2100513,Малинники,
2005381,Малино,
2000453,Малино,
2014848,Малинов Яр,
2028113,Малиновка,
2001164,Малиновка,
2044858,Малиновое Озеро,
2200101,Білокоровичі,
2200344,Нові Білокоровичі,
2200709,Дубр. Олевська,
2218037,Остки,
2218036,Томашгород,
2218195,Клесів,
2218080,Сарни,
2218120,Антонівка,
2218033,Рафалівка,
2218032,Чарторийськ,
2218205,Маневичі,
2218029,Повурськ,
2218020,Ковель-Пас.,
2218041,Турійськ,
2218043,Овадно,
2218044,Іваничі,
2218062,Сокаль,
2218245,Червоноград,
2218064,Соснівка,"Львівська область, Сокальський район"
2208109,Соснівка,
2204745,Соснівка,
2218128,Косини,
2044256,Береговая,
2218129,Берегово,
2054964,Береговой,
2061548,Береговой,
2218140,Боржава,
2218295,Королеве,
2219115,Хуст,
2218350,Хуст Зуп. Пункт,
2218160,Буштине,
2218105,Тячів,
2219085,Тересва, 
2218065,Солотвино 1,
2218355,Солотвино 2,
2218480,Солотвино-Лікар.,
2200174,Чуднів-Волинськ.,
2014191,Добрая Воля,
2024771,Прибельский,
2210727,Прибережне,
2201150,Борщагівка,
2200409,Борщагівка-Техн.,
2004909,Червас,
2100019,Червено,
2048006,Червинка,
2064104,Червлена,
2064106,Червлена-Вузлова,
2218296,Червона Дубрава,
2208055,Червоне,"Одеська область, Тарутинський район"
2208033,Червоний Граніт,
2210764,Червоний Схід,
2204722,Червоний Шлях,
2000758,Кузмичевка,
2208524,Калініндорф,
2020787,Калініно,
2708947,Калагир,
2208060,Калаглея,
2064421,Каладжинская,
2014681,Калаис,
2055009,Калакачан,
2208545,Каланчак,
2300587,Калараш,
2028121,Калары,
2004643,Сланцы,
2006117,Сланцы-Пасс,
2004473,Русаново,
2004918,Русановская,
2100127,Русино,
2000254,Русский Брод,
2058788,Русское *,
2800351,Рустави Груз,
2800375,Рустави-Пасс,
2004440,Русыня,
2218651,Руське Поле,
2200024,Кошари,
2044874,Кошево,
2068544,Кошевой,
2100929,Кошелево,
2030367,Кошелевский,
2301594,Кошерница,
2064076,Кошехабль,
2700738,Кошкентал,
2064256,Кошкино,
2044919,Кошкуль,
2218047,Голоби,
2218049,Рожище,
2218059,Сенкевичівка,
2218285,Горохів,
2208437,Горохівка,
2218068,Стоянів,
2218069,Радехів,
2218199,Отинія,
2214060,Лисичанськ,
2214113,Рубіжне,
2214008,Кремінне,
2214052,Сватове,
2204407,Куземівка,
2204406,Кислівка,
2204380,Куп'янськ-Вузл.,
2204423,Шевченкове-Півд.,
2204426,Чугуїв,
2204519,Люботин,
2204521,Люботин-Захід,
2204516,Богодухів,
2204515,Губарівка,
2204512,Кириківка,
2204460,Смородине,
2204507,Боромля,
2204450,Суми,
2204498,Суми-Тов.,
2204440,Білопілля,
2200050,Ворожба-Пас.,
2200060,Путивль,
2200040,Конотоп-Пас.,
2200030,Бахмач-Пас.,
2201785,Яблунець,
2200186,Острог,
2214378,Острогляд,
2014515,Острогожськ,
2200137,Радулин,
2200059,Яготин,
2044851,Яготинская,
2204550,Гребінка,
2204560,Лубни,
2204530,Ромодан,
2060654,Ромодановский,
2204567,Гоголеве,
2204568,Яреськи,
2204571,Сагайдак,
2204573,Решетилівка,
2204526,Коломак,
2218400,Рівне,
2208415,Куцівка,
2208502,Казанка,
2054008,Казанкан,
2208504,Новий Буг,
2208507,Явкине,
2218015,Костопіль,
2218210,Дубровиця,
2218003,Удрицьк,
2101190,Горинь,
21221,Горинь Кордон,
2101002,Видибір,
2101001,Прип'ять,
2100291,Лунінець,
